domain	crawl_time	audience_id	audience_name	cond_match	cond_name	cond_type	cond_value
thebreastcancersite.greatergood.com	1518688800000	2904900282	Mobile Only			device	iphone
thebreastcancersite.greatergood.com	1518688800000	2904900282	Mobile Only			device	mobile
pillpack.com	1518620400000	8523410278	Not Call Center Partners	substring	utm_medium	query	callcenter
pillpack.com	1518620400000	8789372350	Not Affiliates	exact	utm_medium	query	affiliate
indeed.com	1517360400000	10029174675	en_US_Everyone			code	(document.cookie.match("LOCALE") && document.cookie.match("CO") && (document.cookie.match("LOCALE[^;]*")[0].indexOf("en_US") > -1 ) || (document.cookie.match("LOCALE[^;]*")[0].indexOf("en") > -1 && document.cookie.match("CO[^;]*")[0].indexOf("US") > -1))
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			location	US
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			location	|||EU
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			source_type	direct
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			source_type	search
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			source_type	referral
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			source_type	campaign
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			device	desktop
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			device	mobile
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			device	iphone
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			device	ipad
indeed.com	1517360400000	10123792015	Everyone_Test Audience_mmarmion			device	tablet
indeed.com	1517360400000	10197100363	en_Everyone_sasano			language	en
cbs.com	1519650000000	1711730205	Desktop Visitors			platform	mac os
cbs.com	1519650000000	1711730205	Desktop Visitors			platform	windows
cbs.com	1519650000000	7814420561	Not Logged In	exists	CBS_COM	cookies	
classpass.com	1518757200000	10164738462	50% off 3 month utm_content	regex	utm_content	query	12740|12741|12742|12743|12756|12760|12761|12762|12763
classpass.com	1518757200000	10202160204	PLR	exact	cpUserType	cookies	prospect
classpass.com	1518757200000	10202160204	PLR	exact	cpUserType	cookies	lead
classpass.com	1518757200000	10202160204	PLR	exact	cpUserType	cookies	registered
classpass.com	1518757200000	9182902261	Subscribers Only	exact	cpUserType	cookies	subscribed
classpass.com	1518757200000	9836136313	RAF	exact	utm_source	query	Friendbuy
classpass.com	1518757200000	9836136313	RAF	exists	friendbuy_referral_code	cookies	
classpass.com	1518757200000	9864691118	utm_content campaign specifc	regex	utm_content	query	12587|12588|12589|12590|12591|12592|12593|12594|12595|12596|12597|12598|12599|12600|12601|12602|12603|12604|12605|12606|12607|12608|12609|12610|12620|12639|12641|12665|12666|12687|12688|12689|12690|12691|12692|12697|12700|12701|12702|12707|12708|12709|12710|12711|12719|12718|12720||12723|12599|12598|12597|12726|12727|12728
citypass.com	1521082800000	10244754099	Mobile			device	iphone
citypass.com	1521082800000	10244754099	Mobile			device	mobile
theveteranssite.greatergood.com	1517493600000	2904900282	Mobile Only			device	iphone
theveteranssite.greatergood.com	1517493600000	2904900282	Mobile Only			device	mobile
thepetitionsite.com	1520298000000	10306050035	2018 - Mobile, New (z00m), English NAP			device	iphone
thepetitionsite.com	1520298000000	10306050035	2018 - Mobile, New (z00m), English NAP			device	mobile
thepetitionsite.com	1520298000000	10306050035	2018 - Mobile, New (z00m), English NAP			language	en
thepetitionsite.com	1520298000000	10306050035	2018 - Mobile, New (z00m), English NAP			first_session	
thepetitionsite.com	1520298000000	10306050035	2018 - Mobile, New (z00m), English NAP	exists	z00m	query	
thepetitionsite.com	1520298000000	10403783664	2018 - Desktop New (no z00m), English NAP			device	desktop
thepetitionsite.com	1520298000000	10403783664	2018 - Desktop New (no z00m), English NAP			language	en
thepetitionsite.com	1520298000000	10403783664	2018 - Desktop New (no z00m), English NAP			first_session	
thepetitionsite.com	1520298000000	10403783664	2018 - Desktop New (no z00m), English NAP	exists	z00m	query	
thetileapp.com	1518588000000	8239241998	ReTile Customers	exact	tile-retile	cookies	1
thetileapp.com	1518588000000	8239241998	ReTile Customers			code	window.location.href.indexOf('order-confirmation') !== -1 && localStorage.getItem('retile-cookie') !== null;
thetileapp.com	1518588000000	8239241998	ReTile Customers			code	window.shopInfo && window.shopInfo.order.category === 'renewals-cart'
thetileapp.com	1518588000000	8239241998	ReTile Customers			code	window.location.href.indexOf('retilenow') !== -1 
thetileapp.com	1518588000000	8396081895	US Only Non Retile			location	US
thetileapp.com	1518588000000	8396081895	US Only Non Retile			location	UM
